SensorID,HitCount,PositionX,PositionY,PositionZ
261,42,305.556,111.667,214.667
262,101,305.556,111.667,250.444
263,9,305.556,111.667,286.222
265,51,305.556,223.333,71.5556
266,75,305.556,223.333,107.333
267,68,305.556,223.333,143.111
268,103,305.556,223.333,178.889
269,43,305.556,223.333,214.667
270,44,305.556,223.333,250.444
271,91,305.556,223.333,286.222
273,58,305.556,335,71.5556
274,43,305.556,335,107.333
275,150,305.556,335,143.111
276,83,305.556,335,178.889
277,113,305.556,335,214.667
278,25,305.556,335,250.444
279,69,305.556,335,286.222
281,229,305.556,446.667,71.5556
282,105,305.556,446.667,107.333
283,94,305.556,446.667,143.111
284,115,305.556,446.667,178.889
285,101,305.556,446.667,214.667
286,45,305.556,446.667,250.444
287,62,305.556,446.667,286.222
289,189,305.556,558.333,71.5556
290,140,305.556,558.333,107.333
291,64,305.556,558.333,143.111
292,151,305.556,558.333,178.889
293,122,305.556,558.333,214.667
294,147,305.556,558.333,250.444
295,139,305.556,558.333,286.222
297,209,305.556,670,71.5556
298,146,305.556,670,107.333
299,20977,305.556,670,143.111
300,23624,305.556,670,178.889
301,186,305.556,670,214.667
302,194,305.556,670,250.444
303,218,305.556,670,286.222
305,384,305.556,781.667,71.5556
306,355,305.556,781.667,107.333
307,16383,305.556,781.667,143.111
308,13371,305.556,781.667,178.889
309,293,305.556,781.667,214.667
310,298,305.556,781.667,250.444
311,209,305.556,781.667,286.222
313,443,305.556,893.333,71.5556
314,1598,305.556,893.333,107.333
315,10639,305.556,893.333,143.111
316,15700,305.556,893.333,178.889
317,11546,305.556,893.333,214.667
318,498,305.556,893.333,250.444
319,459,305.556,893.333,286.222
321,60,366.667,111.667,71.5556
322,29,366.667,111.667,107.333
323,109,366.667,111.667,143.111
324,68,366.667,111.667,178.889
325,40,366.667,111.667,214.667
326,29,366.667,111.667,250.444
327,65,366.667,111.667,286.222
329,111,366.667,223.333,71.5556
330,63,366.667,223.333,107.333
331,38,366.667,223.333,143.111
332,75,366.667,223.333,178.889
333,105,366.667,223.333,214.667
334,89,366.667,223.333,250.444
335,78,366.667,223.333,286.222
337,43,366.667,335,71.5556
338,42,366.667,335,107.333
339,73,366.667,335,143.111
340,122,366.667,335,178.889
341,134,366.667,335,214.667
342,62,366.667,335,250.444
343,100,366.667,335,286.222
345,121,366.667,446.667,71.5556
346,77,366.667,446.667,107.333
347,94,366.667,446.667,143.111
348,114,366.667,446.667,178.889
349,69,366.667,446.667,214.667
350,130,366.667,446.667,250.444
351,82,366.667,446.667,286.222
353,98,366.667,558.333,71.5556
354,106,366.667,558.333,107.333
355,119,366.667,558.333,143.111
356,106,366.667,558.333,178.889
357,118,366.667,558.333,214.667
358,140,366.667,558.333,250.444
359,85,366.667,558.333,286.222
361,149,366.667,670,71.5556
362,124,366.667,670,107.333
363,155,366.667,670,143.111
364,229,366.667,670,178.889
365,159,366.667,670,214.667
366,199,366.667,670,250.444
367,130,366.667,670,286.222
369,315,366.667,781.667,71.5556
370,287,366.667,781.667,107.333
371,295,366.667,781.667,143.111
372,318,366.667,781.667,178.889
373,240,366.667,781.667,214.667
374,225,366.667,781.667,250.444
375,275,366.667,781.667,286.222
377,507,366.667,893.333,71.5556
378,585,366.667,893.333,107.333
379,556,366.667,893.333,143.111
380,497,366.667,893.333,178.889
381,463,366.667,893.333,214.667
382,507,366.667,893.333,250.444
383,339,366.667,893.333,286.222
385,67,427.778,111.667,71.5556
386,59,427.778,111.667,107.333
387,69,427.778,111.667,143.111
388,42,427.778,111.667,178.889
389,30,427.778,111.667,214.667
390,19,427.778,111.667,250.444
391,65,427.778,111.667,286.222
393,61,427.778,223.333,71.5556
394,11,427.778,223.333,107.333
395,42,427.778,223.333,143.111
396,27,427.778,223.333,178.889
397,126,427.778,223.333,214.667
398,52,427.778,223.333,250.444
399,53,427.778,223.333,286.222
401,68,427.778,335,71.5556
402,83,427.778,335,107.333
403,36,427.778,335,143.111
404,25,427.778,335,178.889
405,74,427.778,335,214.667
406,33,427.778,335,250.444
407,93,427.778,335,286.222
409,102,427.778,446.667,71.5556
410,111,427.778,446.667,107.333
411,62,427.778,446.667,143.111
412,144,427.778,446.667,178.889
413,80,427.778,446.667,214.667
414,62,427.778,446.667,250.444
415,107,427.778,446.667,286.222
417,120,427.778,558.333,71.5556
418,86,427.778,558.333,107.333
419,83,427.778,558.333,143.111
420,128,427.778,558.333,178.889
421,89,427.778,558.333,214.667
422,105,427.778,558.333,250.444
423,87,427.778,558.333,286.222
425,166,427.778,670,71.5556
426,190,427.778,670,107.333
427,107,427.778,670,143.111
428,176,427.778,670,178.889
429,72,427.778,670,214.667
430,166,427.778,670,250.444
431,155,427.778,670,286.222
433,354,427.778,781.667,71.5556
434,226,427.778,781.667,107.333
435,339,427.778,781.667,143.111
436,217,427.778,781.667,178.889
437,149,427.778,781.667,214.667
438,195,427.778,781.667,250.444
439,213,427.778,781.667,286.222
441,349,427.778,893.333,71.5556
442,487,427.778,893.333,107.333
443,405,427.778,893.333,143.111
444,481,427.778,893.333,178.889
445,402,427.778,893.333,214.667
446,385,427.778,893.333,250.444
447,363,427.778,893.333,286.222
449,67,488.889,111.667,71.5556
450,12,488.889,111.667,107.333
451,12,488.889,111.667,143.111
452,63,488.889,111.667,178.889
453,37,488.889,111.667,214.667
454,37,488.889,111.667,250.444
455,45,488.889,111.667,286.222
457,58,488.889,223.333,71.5556
458,82,488.889,223.333,107.333
459,57,488.889,223.333,143.111
460,88,488.889,223.333,178.889
461,46,488.889,223.333,214.667
462,66,488.889,223.333,250.444
463,39,488.889,223.333,286.222
465,93,488.889,335,71.5556
466,33,488.889,335,107.333
467,35,488.889,335,143.111
468,98,488.889,335,178.889
469,113,488.889,335,214.667
470,68,488.889,335,250.444
471,81,488.889,335,286.222
473,147,488.889,446.667,71.5556
474,115,488.889,446.667,107.333
475,96,488.889,446.667,143.111
476,52,488.889,446.667,178.889
477,36,488.889,446.667,214.667
478,53,488.889,446.667,250.444
479,47,488.889,446.667,286.222
481,110,488.889,558.333,71.5556
482,95,488.889,558.333,107.333
483,136,488.889,558.333,143.111
484,94,488.889,558.333,178.889
485,138,488.889,558.333,214.667
486,80,488.889,558.333,250.444
487,106,488.889,558.333,286.222
489,73,488.889,670,71.5556
490,227,488.889,670,107.333
491,136,488.889,670,143.111
492,116,488.889,670,178.889
493,153,488.889,670,214.667
494,111,488.889,670,250.444
495,147,488.889,670,286.222
497,186,488.889,781.667,71.5556
498,138,488.889,781.667,107.333
499,191,488.889,781.667,143.111
500,189,488.889,781.667,178.889
501,154,488.889,781.667,214.667
502,135,488.889,781.667,250.444
503,192,488.889,781.667,286.222
505,258,488.889,893.333,71.5556
506,309,488.889,893.333,107.333
507,334,488.889,893.333,143.111
508,307,488.889,893.333,178.889
509,259,488.889,893.333,214.667
510,272,488.889,893.333,250.444
511,302,488.889,893.333,286.222
